"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
7.229073100E-2	-4.834698200E0	5.307280540E0	6.464210510E0	9.660618559E0
7.335896000E-2	-4.839483738E0	5.318048477E0	6.441478729E0	9.653750084E0
7.442718900E-2	-4.839483738E0	5.327619553E0	6.392425537E0	9.626382352E0
7.549437700E-2	-4.850251675E0	5.328815937E0	6.331408501E0	9.592077679E0
7.656260600E-2	-4.862215519E0	5.320441246E0	6.281159401E0	9.560397388E0
7.763083500E-2	-4.871787071E0	5.309673309E0	6.224927902E0	9.522429696E0
7.869906400E-2	-4.882554531E0	5.306084156E0	6.175875187E0	9.493961352E0
7.976729300E-2	-4.899304390E0	5.307280540E0	6.138786316E0	9.479193408E0
8.083448100E-2	-4.914857864E0	5.314459324E0	6.083751678E0	9.455756988E0
8.190271000E-2	-4.942375183E0	5.320441246E0	6.027520180E0	9.437434345E0
8.297093900E-2	-4.978267670E0	5.326423168E0	5.996413708E0	9.439857526E0
8.403916800E-2	-5.005784988E0	5.333601475E0	5.984449387E0	9.450863585E0
8.510739700E-2	-5.048855782E0	5.335994720E0	5.977271080E0	9.470562492E0
8.617458500E-2	-5.091926575E0	5.335994720E0	5.980860233E0	9.495854097E0
8.724281400E-2	-5.133800983E0	5.339583874E0	5.982056618E0	9.521138055E0
8.831104300E-2	-5.176871777E0	5.345565796E0	5.979663849E0	9.546279632E0
8.937927200E-2	-5.213960648E0	5.345565796E0	5.991627693E0	9.573926140E0
9.044750200E-2	-5.260620594E0	5.357530117E0	5.966503143E0	9.590433658E0
9.151468900E-2	-5.295316696E0	5.373083115E0	5.943771362E0	9.604104283E0
9.258291800E-2	-5.327619553E0	5.391029358E0	5.929414749E0	9.623132905E0
9.365114700E-2	-5.365904808E0	5.408975601E0	5.919843197E0	9.648548851E0
9.471937700E-2	-5.404190063E0	5.418546677E0	5.918646812E0	9.674517994E0
9.578760600E-2	-5.444868088E0	5.444868088E0	5.891129494E0	9.695286674E0
9.685479300E-2	-5.499902725E0	5.468796253E0	5.870790482E0	9.727427374E0
9.792302200E-2	-5.536991596E0	5.495117188E0	5.875576019E0	9.766113987E0
9.899125200E-2	-5.569294930E0	5.523830891E0	5.874379635E0	9.799902541E0
1.000594810E-1	-5.596812248E0	5.542973518E0	5.861218929E0	9.818490215E0
1.011277100E-1	-5.626722336E0	5.562116146E0	5.864808083E0	9.848508218E0
1.021948970E-1	-5.655436516E0	5.583651543E0	5.861218929E0	9.874969067E0
1.032631270E-1	-5.680561066E0	5.606383324E0	5.852844238E0	9.897277084E0
1.043313560E-1	-5.698507309E0	5.637490273E0	5.845665932E0	9.920992506E0
1.053995850E-1	-5.715256691E0	5.673382282E0	5.843272686E0	9.949636237E0
1.064678140E-1	-5.735595703E0	5.710471153E0	5.840879917E0	9.981102999E0
1.075350020E-1	-5.745167255E0	5.734399319E0	5.830112457E0	9.994022894E0
1.086032310E-1	-5.746363640E0	5.746363640E0	5.809773445E0	9.989737616E0
1.096714600E-1	-5.743970871E0	5.754738331E0	5.806184292E0	9.991095568E0
1.107396890E-1	-5.746363640E0	5.759523869E0	5.808577061E0	9.996618315E0
1.118079180E-1	-5.765506268E0	5.760720730E0	5.796612740E0	1.000138416E1
1.128751060E-1	-5.773880959E0	5.752345562E0	5.765506268E0	9.983398385E0
1.139433350E-1	-5.777470112E0	5.747560024E0	5.754738331E0	9.976503415E0
1.150115640E-1	-5.778666496E0	5.757131100E0	5.773880959E0	9.993760368E0
1.160797930E-1	-5.781059742E0	5.763113499E0	5.773880959E0	9.998591414E0
1.171480220E-1	-5.777470112E0	5.759523869E0	5.771488190E0	9.993065196E0
1.182152100E-1	-5.761917114E0	5.758327484E0	5.787041664E0	9.992390878E0
1.192834390E-1	-5.743970871E0	5.752345562E0	5.788238049E0	9.979297597E0
1.203516680E-1	-5.729613781E0	5.728417397E0	5.791827202E0	9.959342462E0
1.214198970E-1	-5.723631859E0	5.711667538E0	5.797809124E0	9.949758708E0
1.224881270E-1	-5.699703693E0	5.700900078E0	5.802595139E0	9.932622727E0
1.235553140E-1	-5.686542988E0	5.693721294E0	5.839683533E0	9.942692648E0
1.246235430E-1	-5.674578667E0	5.682953835E0	5.862415314E0	9.943074004E0
1.256917720E-1	-5.660222054E0	5.661418438E0	5.880361557E0	9.933198099E0
1.267600020E-1	-5.654240131E0	5.644668579E0	5.885147095E0	9.923087783E0
1.278282310E-1	-5.637490273E0	5.636293888E0	5.852844238E0	9.889635536E0
1.288954180E-1	-5.618347645E0	5.617151260E0	5.843272686E0	9.862152616E0
1.299636470E-1	-5.605186939E0	5.589633465E0	5.842076302E0	9.838291437E0
1.310318770E-1	-5.582455158E0	5.554937840E0	5.840879917E0	9.804948659E0
1.321001060E-1	-5.559723377E0	5.531009674E0	5.837290764E0	9.776326279E0
1.331683350E-1	-5.544169903E0	5.511867046E0	5.813362598E0	9.742365367E0
1.342355220E-1	-5.527420521E0	5.493920803E0	5.810969830E0	9.721260914E0
1.353037520E-1	-5.503491879E0	5.472385406E0	5.813362598E0	9.696938156E0
1.363719810E-1	-5.481956482E0	5.436492920E0	5.806184292E0	9.660180028E0
1.374402100E-1	-5.471189022E0	5.420939922E0	5.799005508E0	9.641004296E0
1.385084390E-1	-5.461617470E0	5.388636589E0	5.801398277E0	9.618882037E0
1.395756270E-1	-5.444868088E0	5.356333256E0	5.799005508E0	9.589857107E0
1.406438560E-1	-5.430510998E0	5.338387489E0	5.778666496E0	9.559383723E0
1.417120850E-1	-5.416153908E0	5.324030399E0	5.746363640E0	9.523692452E0
1.427803140E-1	-5.411368370E0	5.314459324E0	5.727221012E0	9.504075235E0
1.438485430E-1	-5.400600910E0	5.294120312E0	5.751149178E0	9.501048202E0
1.449157310E-1	-5.385047436E0	5.267798901E0	5.772684574E0	9.490644253E0
1.459839600E-1	-5.367101192E0	5.254638672E0	5.770291805E0	9.471708943E0
1.470521890E-1	-5.358726501E0	5.253442287E0	5.757131100E0	9.458285473E0
1.481204180E-1	-5.356333256E0	5.246263504E0	5.736792088E0	9.440570436E0
1.491886470E-1	-5.352744102E0	5.234299660E0	5.706882000E0	9.413727451E0
1.502568770E-1	-5.350351334E0	5.219942570E0	5.679364681E0	9.387717668E0
1.513251060E-1	-5.347958565E0	5.210371494E0	5.679364681E0	9.381034863E0
1.523922930E-1	-5.340780258E0	5.209175110E0	5.674578667E0	9.373381574E0
1.534605220E-1	-5.335994720E0	5.206781864E0	5.662614822E0	9.362084365E0
1.545287520E-1	-5.338387489E0	5.198407173E0	5.654240131E0	9.353729181E0
1.555969810E-1	-5.344369411E0	5.196014404E0	5.672185898E0	9.366671925E0
1.566652100E-1	-5.344369411E0	5.193621635E0	5.665007591E0	9.360998937E0
1.577308350E-1	-5.344369411E0	5.191228867E0	5.655436516E0	9.353881747E0
1.587964600E-1	-5.340780258E0	5.194818020E0	5.667400360E0	9.361062700E0
1.598596890E-1	-5.334797859E0	5.201996326E0	5.718846321E0	9.392871618E0
1.609207310E-1	-5.325226784E0	5.196014404E0	5.741578102E0	9.397995802E0
1.619816680E-1	-5.319244862E0	5.184050083E0	5.728417397E0	9.379952400E0
1.630415640E-1	-5.314459324E0	5.181657314E0	5.767899036E0	9.400090942E0
