"Time (s)"	"Velocity (m/s)"	"Gyroscope y (rad/s)"
4.114796958E0	3.034035921E-2	7.585089803E-1
4.154490958E0	4.399881363E-2	1.099970341E0
4.194185958E0	8.018607140E-2	2.004651785E0
4.233879958E0	1.238179111E-1	3.095447779E0
4.273573958E0	1.774497795E-1	4.436244488E0
4.313268958E0	2.296484566E-1	5.741211414E0
4.352962958E0	3.287799454E-1	8.219498634E0
4.392656958E0	4.804357910E-1	1.201089478E1
4.432351958E0	6.723092651E-1	1.680773163E1
4.472045958E0	6.629580688E-1	1.657395172E1
4.511739958E0	6.281436539E-1	1.570359135E1
4.551434958E0	6.184749985E-1	1.546187496E1
4.591128958E0	6.446347046E-1	1.611586761E1
4.630822958E0	6.812514496E-1	1.703128624E1
4.670517958E0	7.772413635E-1	1.943103409E1
4.710211958E0	8.072007751E-1	2.018001938E1
4.749905958E0	7.528663635E-1	1.882165909E1
4.789600958E0	7.062361145E-1	1.765590286E1
4.829294958E0	6.432750702E-1	1.608187675E1
4.868988958E0	6.159945679E-1	1.539986420E1
4.908683958E0	6.016744232E-1	1.504186058E1
4.948378333E0	6.125833893E-1	1.531458473E1
4.988072333E0	6.498101807E-1	1.624525452E1
5.027767333E0	7.373616028E-1	1.843404007E1
5.067461333E0	7.946755981E-1	1.986688995E1
5.107155333E0	7.528396606E-1	1.882099152E1
5.146850333E0	7.026909637E-1	1.756727409E1
5.186544333E0	6.558705139E-1	1.639676285E1
5.226238333E0	5.707936096E-1	1.426984024E1
5.265933333E0	6.958399200E-1	1.739599800E1
5.305627333E0	7.417667389E-1	1.854416847E1
5.345321333E0	7.824647522E-1	1.956161880E1
5.385016333E0	8.866421509E-1	2.216605377E1
5.424710333E0	9.062094879E-1	2.265523720E1
5.464404333E0	8.450211334E-1	2.112552834E1
5.504099333E0	7.871006012E-1	1.967751503E1
5.543793333E0	7.232977295E-1	1.808244324E1
5.583488333E0	7.057758331E-1	1.764439583E1
5.623182333E0	7.153725433E-1	1.788431358E1
5.662876333E0	7.597102356E-1	1.899275589E1
5.702571333E0	8.614457703E-1	2.153614426E1
5.742265333E0	8.826869965E-1	2.206717491E1
5.781959333E0	8.164913940E-1	2.041228485E1
5.821654333E0	7.026723480E-1	1.756680870E1
5.861348333E0	3.168634224E-1	7.921585560E0
5.901042333E0	3.435735321E-1	8.589338303E0
5.940737333E0	5.016934967E-1	1.254233742E1
5.980431750E0	6.145901871E-1	1.536475468E1
6.020125750E0	7.665895844E-1	1.916473961E1
6.059820750E0	8.612065125E-1	2.153016281E1
6.099514750E0	9.762279510E-1	2.440569878E1
6.139209750E0	9.169791412E-1	2.292447853E1
6.178903750E0	8.583523560E-1	2.145880890E1
6.218597750E0	7.947402954E-1	1.986850739E1
6.258292750E0	7.574413300E-1	1.893603325E1
6.297986750E0	7.628229523E-1	1.907057381E1
6.337680750E0	8.044902039E-1	2.011225510E1
6.377375750E0	8.850758362E-1	2.212689590E1
6.417069750E0	6.484009552E-1	1.621002388E1
